run,nf1,k1,p1,nf2,k2,p2,f1_score,val_loss,val_accuracy,bn1,dropout1,bn2,dropout2,bn3
178,64,"(5, 5)","(2, 2)",32,"(8, 8)","(5, 5)",0.98534,0.04451,0.98733,0,0.206,1,0.375,0
179,64,"(8, 8)","(2, 2)",32,"(2, 2)","(5, 5)",0.9872,0.20608,0.93056,1,0.091,1,0.122,0
180,64,"(8, 8)","(2, 2)",32,"(5, 5)","(5, 5)",0.99725,0.02651,0.99138,0,0.046,0,0.054,1
181,64,"(8, 8)","(2, 2)",32,"(8, 8)","(5, 5)",0.92572,0.70703,0.73594,1,0.387,0,0.366,1
182,16,"(2, 2)","(3, 3)",8,"(2, 2)","(3, 3)",0.96066,0.1125,0.95692,1,0.243,1,0.333,1
183,16,"(2, 2)","(3, 3)",8,"(5, 5)","(3, 3)",0.96789,0.12534,0.95743,0,0.489,0,0.343,1
184,16,"(2, 2)","(3, 3)",8,"(8, 8)","(3, 3)",0.96983,0.11603,0.96047,0,0.147,0,0.338,1
185,16,"(5, 5)","(3, 3)",8,"(2, 2)","(3, 3)",0.96612,0.08076,0.97162,0,0.45,0,0.383,0
186,16,"(5, 5)","(3, 3)",8,"(5, 5)","(3, 3)",0.96719,0.32641,0.87025,0,0.224,1,0.17,0
187,16,"(5, 5)","(3, 3)",8,"(8, 8)","(3, 3)",0.98077,0.05356,0.98632,0,0.253,1,0.366,1
188,16,"(8, 8)","(3, 3)",8,"(2, 2)","(3, 3)",0.97249,0.16897,0.9483,1,0.44,0,0.026,1
189,16,"(8, 8)","(3, 3)",8,"(5, 5)","(3, 3)",0.97992,0.22365,0.90725,1,0.479,1,0.003,1
190,16,"(8, 8)","(3, 3)",8,"(8, 8)","(3, 3)",0.98447,0.35327,0.87481,1,0.149,1,0.221,1
191,24,"(2, 2)","(3, 3)",12,"(2, 2)","(3, 3)",0.96513,0.31133,0.88697,1,0.251,1,0.193,0
192,24,"(2, 2)","(3, 3)",12,"(5, 5)","(3, 3)",0.96641,0.27846,0.87126,1,0.097,1,0.17,1
193,24,"(2, 2)","(3, 3)",12,"(8, 8)","(3, 3)",0.98351,0.0974,0.96097,0,0.223,1,0.261,1
194,24,"(5, 5)","(3, 3)",12,"(2, 2)","(3, 3)",0.98626,0.22317,0.93512,1,0.006,0,0.213,1
195,24,"(5, 5)","(3, 3)",12,"(5, 5)","(3, 3)",0.99176,0.4303,0.89154,0,0.483,0,0.235,1
196,24,"(5, 5)","(3, 3)",12,"(8, 8)","(3, 3)",0.91926,0.30093,0.90522,1,0.322,0,0.445,0
197,24,"(8, 8)","(3, 3)",12,"(2, 2)","(3, 3)",0.95149,1.55014,0.66853,1,0.058,1,0.401,0
198,24,"(8, 8)","(3, 3)",12,"(5, 5)","(3, 3)",0.94854,0.14691,0.9336,1,0.437,0,0.135,1
199,24,"(8, 8)","(3, 3)",12,"(8, 8)","(3, 3)",0.9405,1.33034,0.73036,1,0.398,1,0.358,0
200,32,"(2, 2)","(3, 3)",16,"(2, 2)","(3, 3)",0.92907,1.38037,0.72935,1,0.399,0,0.008,0
201,32,"(2, 2)","(3, 3)",16,"(5, 5)","(3, 3)",0.95712,0.1768,0.93512,1,0.282,1,0.049,1
202,32,"(2, 2)","(3, 3)",16,"(8, 8)","(3, 3)",0.98081,0.18015,0.92448,1,0.093,1,0.381,0
203,32,"(5, 5)","(3, 3)",16,"(2, 2)","(3, 3)",0.9826,0.44979,0.89255,0,0.321,0,0.394,0
204,32,"(5, 5)","(3, 3)",16,"(5, 5)","(3, 3)",0.95146,0.57278,0.74658,1,0.155,1,0.294,1
205,32,"(5, 5)","(3, 3)",16,"(8, 8)","(3, 3)",0.99176,0.45511,0.83781,0,0.273,1,0.191,0
206,32,"(8, 8)","(3, 3)",16,"(2, 2)","(3, 3)",0.99359,0.11145,0.96249,0,0.134,0,0.28,1
207,32,"(8, 8)","(3, 3)",16,"(5, 5)","(3, 3)",0.99359,0.40987,0.83224,1,0.387,0,0.149,1
208,32,"(8, 8)","(3, 3)",16,"(8, 8)","(3, 3)",0.99817,0.02175,0.99189,0,0.347,0,0.126,0
209,48,"(2, 2)","(3, 3)",24,"(2, 2)","(3, 3)",0.97807,0.08991,0.97111,0,0.372,0,0.342,0
210,48,"(2, 2)","(3, 3)",24,"(5, 5)","(3, 3)",0.98902,0.12791,0.95185,0,0.104,0,0.328,1
211,48,"(2, 2)","(3, 3)",24,"(8, 8)","(3, 3)",0.98358,0.09781,0.96401,0,0.049,0,0.267,1
